sentiment,vi_review
negative,thị huyền 🥺
negative,"ko dám , ko dám , ko dám than , ko dám yêu hôm đấy trái tim lạnh dần ko yêu"
negative,"tiền tài , vật chất rung động chân thành chung thủy roii chân trọng"
negative,đàn ông niềm đau
positive,"tưởng tượng nổi cha ông giỏi , <someone> , <someone> , bất khuất"
positive,góc đứng đẹp hôm qua ae mấy 🤣
positive,😂 cao thơi 😂
positive,"tuyệt , iu , iu pam"
negative,ước trở thời tuổi thơ ..
negative,mong lựa chọn ❤ ️
positive,cty chả b 😂 thích nâng đấy
positive,tiếc . 😂
negative,đ thấm nổi :) thụi dai
negative,t kêu t overthinking bọn kêu t over thần kinh 🤡 🤡 🤡 🤡
positive,<someone>
negative,mệt lắm
negative,ấymkhangg 💐 🌷
positive,chòi oiiiii cục cưng
negative,no dia chia dap chet me thsng khon nan
negative,hùng
positive,gipjng b rấy ấm cực kỳ
negative,nguyễn thanh bình ngược lại ngược gìi 😏
negative,"thương con giống mẹ , mẹ thương con giống , thương"
negative,đôi khi tâm sự chả mấy ai 😂
positive,sức khỏe làm đẹp : suy nghĩ tích cực video
negative,23 : 14 cx
negative,bé yêu tàn ác bé đc
positive,câu 9 dễ thương ghê mấy câu kia lâu òi 😊 😇 🥰 🤗
positive,th ghê luon á troi
negative,buồn
negative,maithu cuti 🎂 đừng khóc
positive,vn 1000 🐧
negative,🤕
positive,yêu
negative,💢 zạ chèn 🥺
positive,tự hào quân đội nhân nhân việt nam 🥰
negative,vãi tiếc vãi hôm qua hiệp 1 trận inter vs atm
negative,kh 🖤
positive,mẹ salim pam xinh 🥰
negative,mệt mỏi vãi lòn
negative,chán tc chia tay
negative,yêu nhầm thằng vũ phu gia trưởng .
negative,thoát 🥺
positive,cute thêss
negative,😊 áp lực tủi thân chùn kín t ko thể n thoát r đc …
positive,cựu chiến binh điện biên phủ
positive,🥰 🥰 🥰 góc đẹp . hôm qua kịp góc đẹp trời .
negative,giai đoạn bất lực k đc
negative,"ỷ mình sức mạnh , đàn ô vứt đi"
positive,tự hào việt
negative,phương ❤ ️ ❤ ️ phương .
positive,muộn phiền thả trôi
negative,kh bt nhma ước mơ dang dở ☺ ️
positive,"tuyệt , động lực vững"
positive,ả ta cinhhh
negative,chưa thể trưởng thành công việc dc j lm j
negative,"ghê , vui buồn vk ck ba mẹ sợ ba mẹ buồn ."
positive,tranhdzs1cute xinh xinh
negative,e ám ảnh . thương . mong e bình an
positive,góc đẹp . chúc người dân việt nam <someone> 🥰
positive,mấy inter chất gỗ lim
negative,nhutbhd cx béooo 🥺
negative,wibu hướng nội khoc ☺
negative,"t m ctay đi , t t cưới ae mẹ . t kiêng kị hàng công cộng :)))))"
negative,hmm đối xử v đối xử ..
positive,váy hòa mặc xinh
negative,"mong , thế giới nỗi đau ."
positive,sam samm k đọc m
positive,chô đứa bon thế
negative,tâm trạng ko trò chuyện ko
negative,thoi mỏi cút
positive,hà nội mùa nồm nắm : v
positive,ảnh ý tui zớiiii
positive,elm ngủ dậy
negative,ước 😞
negative,thúy
positive,pk kím cục đc 📸 κᴇм ᴘʟus √ 🇻 🇳 😂
positive,jency lai tặng nè =))))
negative,im lặng k kể lể khóc k . nc mắt k dư yếu đuối
negative,thuong ..
positive,🙏 2 thánh 🤣 🤣 🤣 🤣
positive,đẹp ng đẹp
negative,mẹ con ép buộc áp lực 🥺 đau khổ
negative,🥰 🥰
negative,cô đơn cạnh sợ cảm giác cô đơn lạ 😌
positive,"trời k xanh , mây k nắng k say nắng say e 😆"
positive,nguyễn phương
negative,miệng đời rơi trạng thái ovtk
negative,zì mik yêu quý lần lượt rời đi 😞
positive,assalamualaikum slm tq 3 temen2 yg baik hati met pagi
positive,cố chang trai 🥰 🥰
negative,mệt 😞
negative,áp lực k .. k k 🙂
negative,"trường học , xã hội , ... nchung"
positive,bồ công bay gió cười ... rượt 😆 😆 😜
negative,r
negative,đau khọc k nc mắm nx s v m . n
negative,đi suy nghĩ tự nhiên nước mắt chảy 😊
negative,trải r 3 mẹ sai 🥰
positive,🫥
negative,"thương đừng khóc khóc , chết đói dành quyền nuôi ko 😭"
positive,thành tâm xin vía bé yêu bụng
negative,đầu suy nghĩ 🤨
negative,ngơi một chút . ổn
positive,"eo ôi , yêu chju 🥰 🥰"
negative,ngầu lắm nha 🖤 b 1 flow dc k nè ❤
negative,: (
negative,buồn lắm 😂
negative,đừng tổn thương đau lắm . trái tim vỡ vụn ròi
positive,chúc hp
positive,tuyệt vời a nghị lực
positive,đẹp ý nghĩa
negative,kệ đi ☺ ️ ☺ ️
negative,cúccc . hẹn
negative,lí do chẳng 🙂
positive,<someone> bậy :))))
negative,"đi tiếc , thương thuong đau 😥"
positive,nàng tiên xinh
negative,canh ngộ 😳
positive,chời mẹ salymmm xinh lunn
positive,lùn ❤ ️ 🍹 chúc heo .
negative,buonn
negative,kh thể over thinking máu ròii
negative,ngón phán xét kia t t . t rủa đầu thai =))
negative,ns cười đêm khóc
negative,đau lòng . suy hy vọng thất vọng 😁
positive,3 ce vui
positive,mong ad video rửa thính
positive,giật mình 🤣 🤣 🤣
negative,khổ màa 😃
negative,uống cacao kg xong đi tiếc 😏
positive,my xứng m
negative,có lẽ ng sai ... 💔
negative,mệt rôi . kh duoc nua
negative,"lf đùa , e ko"
negative,"sự thật mấy thằng tốt tâm tốt tính đéo , bảo k mạnh mẽ 😏 😏 😏"
negative,", nhắm mắt lại lại lung tung ngủ ."
negative,công khai chứng cứ mấy đi uống trà xanh . thiên hạ . say bie ko
negative,đi im lặng ma
negative,lưỡi dao
negative,dao vô hình ...
positive,câu
positive,"11 .. nắng mưa trời .. hai duyên phận , , hạnh phúc nắm bắt"
negative,vô lý
negative,đi
negative,liền trời 🥺
positive,đoạn chiếu rời đô tự dưng nổi da gà
negative,cang nghi cang buon hon ....
positive,tỏ lòng biết ơn .
negative,câu view đéo trường hợp sảy .
negative,ngta bảo trai yêu mắt gái yêu lỗ tai 😌
positive,3.1 b pam yêu r
positive,hy vọng kịch bản drone hình chủ tịch hồ chí minh mùa xuân đảng
positive,mặt cô dâu phúc hậu ghê 🥰
positive,dth qá ik thui 🥰
positive,tết tiếp 🤣 😂
positive,happy birthday 🥰 🥰
negative,nổi 🤣 🤣 🤣 🤣 🤣
negative,h cổng =))
positive,quỳnh sali … 🤔 ước j mik đc thả thính 😅 😅 😂 😂
negative,haizz 😅
negative,vs tớ kh cô đơn kh bận lòng câu chuyện k vui ☺ ️
positive,yêu 🥰 🥰 🥰
negative,p e luon a nha .
positive,oi đẹp qua ty oi ❤ ️ ❤ ️ ❤ ️ ❤ ️
negative,trần trọc mãi ngủ dc ta quên thương ta 🌷
negative,"tệ kĩ , kì vọng chẳng kết quả minhg hằng mong ước : ("
positive,cô dâu xinh ❤ ️
negative,lamvu202 tao ốm
negative,"dạo tâm trạng , tầm chiều tối buồn trầm lắng hẳn . khóc một mình lắm 🥺"
positive,tự hào việt nam
negative,ngoctai8888 tội lun
negative,hôm nay
negative,19 thanq02 bé 🥺
positive,tiền
positive,nhạc hơi buồn
negative,nhầm
negative,ac hơnco tê giác
positive,hẹn 😁
positive,đẹp 😱
positive,mùa hè
negative,gd bn vui uất ức im lặng lặng lẽ khóc 1 mk . k bt ts
negative,thời đại j đánh vk trời 😏
positive,lắm ak
negative,miện đời giết chết con người
positive,việt chinh_18 nz cưới nha vk iu 😚 😘 😘
negative,bất lực
positive,giọng độc
negative,sơ hở tiền
positive,nguyệt dương cân tất 🤣
negative,"quen , , cười đời cộng 🧏 🏻 ‍ ♀ ️"
negative,mn tiền bạc đấy mạnh mẽ ta đi ng yêu thương 😢
negative,mặt cảm bạn bè . đi hành hạ vợ . vợ lỗi
negative,đòi
negative,báo công an đi
negative,mệt mỏi 🥺
positive,cổ iuuuu
positive,c9 nghe ngôn tình hà
negative,mẹ cốm vợ
negative,mệt mỏi 🙂
negative,"bất lực phát hiện ,"
negative,đêm mất ngủ
positive,.. chúc thành sức khỏe
positive,a
negative,"học tập .. tiêu cực , xấu , đau khổ , buồn bã , đau lòng , tồi tệ , lo lắng , trách móc , chán nản , tức giận , đau buồn , thất vọng , ác , đen tối , đau đớn , giận dữ , lo ngại , tuyệt vọng , bực tức"
negative,"30 1 ck 1 , áp lực ôm đi k đi"
negative,sai đôi co ... quản lý tài xế xe chấp hành điều khiển điều khiển thay đương nhiên .... năng lực giỏi quản lý công việc chờ bổ nhiệm quản lý kia
negative,sợ thiệt nha nha ní . con người xinh đẹp hồn nhiên mấy bả đồn ngta tự ti troi r
positive,nhảy vui 😍 😍 😍
negative,rảnh coment
negative,...
negative,đi gõ lịch 🥺 🥺
positive,nam music c kêu o cưới xin j ở vậy 😂 😂 😂
positive,yêu mẹ
positive,phi thường
negative,mệt mỏi
positive,3 ce kem keo tết 🎆
negative,c
positive,4 free ship ko
positive,cười ẻ 😂
negative,", chia tay chia tay 😂"
positive,🖤 m4 nhảy
positive,e thử fl a
negative,đừng suy nghĩ dại dột
positive,xuân ko vui mưa
negative,"k thể mẹ , b sợ phiền , 1 hoàn cảnh uẩn khúc im lặng ."
positive,cuộc đời hàng ngàn cám dỗ bến đỗ
positive,500 nghìn ah 1 củ ah dủ đôi 😊
positive,", 💪"
negative,hk lẽ overthinking
positive,wow what app
negative,ngĩ im lặng ổn ấm ức mãi
positive,😁 😁 lạy hai cụ
positive,<someone> lịch sử điện biên phủ nhá
positive,viết chuẩn đi quản lý sợ . \
positive,vieey30th1 sinh nhật vui vẻ 🎂
negative,cười tươi hoa tối ôm gấu r khóc :)
positive,2 de thuong
negative,cùn c 😫 😫
negative,"“ đi xót lắm , ba thương lắm “"
negative,kim châm chích mãi 😳
positive,mặt cưng
positive,cưng xỉu დ
positive,"câu , chữ đời tâm đắc"
negative,"im lặng ... kiểu , mãi thoát 🥺"
positive,pam yêu
positive,tuyệt vời . câu chuyện tích cực 🥰 🥰
positive,mih thay vì bắn pháo hoa tốn kém chạy drone đẹp tiết kiệm
negative,trai trai hiền ế cổ 😅
negative,đau khổ mệt mõi vs 3
positive,"gửi cô chú anh chị ngày đêm miệt mài ý tưởng tết drone , muố 😭"
negative,thế giới ngoại trừ vk
positive,ý nghĩa sâu đất
positive,ᴀꜱɪᴍ qᴜʀᴇꜱʜɪ 👣 ..... 🥰 ..... 🥰 ..... 🥰 ..... 🥰 happy birthday bro .... 🥰 stay blessed and happy 🥰 .... .... hbd .....
negative,"tớ sao đc tớ , mẹ thà hỗn bảo vệ mẹ .."
negative,". đằng ba mẹ , hình hài , tình thương , k từ bỏ"
negative,t kị đánh gái phụ nữ lí do vớ vẩn bất kỳ lí do 🥰 🥰 phụ nữ yêu thương cấm t mọc sừng 😂 😂
negative,🥰 áp lực sư
negative,bé bé bé may mắn phúc
negative,đi . đời k trai . k lành
positive,phi thường mong khỏe
negative,"xưa t đi hễ lỗi sếp è đầu t chửi lỗi tự t , t chả quản lí , kiêm 2 bộ phận lương mấy 🤡 thế t r nghỉ 🤡 chả , bùa"
negative,cảm giác ck danh e sợ len ban
negative,lemchuchee 💝
negative,"t kh taa , tải đc app"
positive,phúc hậu đấây
negative,mấy đàn bà sinh đau lòng thế này
negative,"☺ ️ , cuộc sống tiền ta kẻ thua cuộc . thua tình , cuộc chơi cuộc đời ."
positive,cục vl :))
negative,đàn ông 1 phút 30 giây suy nghĩ chi
positive,"nắng hoàng hôn tô màu đỏ , yêu đc"
negative,"chê bai xã hội gia đình k nghĩa mik tệ , gia đình . r suy nghĩ k .."
positive,"đọc rơi nước mắt 🥺 , lòng đag nặg nè , lo lắng k nguôi 🥺"
negative,"khóc lắm , <someone> gđ tiểu học mik blhđ . bh trêu mik mik khóc , khóc to lắm"
positive,:)))
negative,toi day thay vui co the tu minh on
negative,"tập podcast lắm , chi tiết câu chuyện đọng . sức khỏe nha 🥰"
positive,1 gương trẻ bế tắc mệt nhọc
negative,"buồn hả , lôi bia uống , khóc 1 trận xong ngủ ngày mai dậy đi bình thường 😌 😌"
positive,ok phết
positive,happy birhtday god bless u
negative,. đoạn đường coi tao đi dẵm 💩
positive,gái quên đau sợ hjjj
positive,tích cực
positive,cảm m may mắn 🥺
negative,hôm nay 😔
negative,"độc thân yêu đời t healing mi , tâm trạng t dạo ni ri á 😭"
positive,coi mặt kìa
positive,hạnh phúc
positive,baotran2107t thử ik
positive,con người ta chịu đựng 🤣 🤣 🤣
negative,"chia tay đấy văn chửi đấy , chửi chết cdm đi"
positive,nhất nho a mong a rep
negative,se co 1 e lm moi thu a nhma a k muon nhan dieu ..
negative,☹ ️ ☹ ️ ☹ ️
negative,vui
positive,jan oblak .
negative,"hihi , hôm nay khóc ngày kia : 3 , 1 lầm : 3"
positive,mấy drone di chuyển đứng yên hiệu ứng ánh sáng v mn . thiệt á k .
positive,tuyệt vời chàng trai <someone>
positive,💓 💓 💓 pam pam 💓 💓 💓
negative,chẳng hạn 😊
positive,rộn ràng í xuân 😀
negative,ấm ức lắm 😬
positive,vía bụng bé gái yêu ❤ ️
positive,biết ơn vũ trụ . biết ơn cuộc sống
positive,cute 😂
positive,ước đx vợ ntn ý
negative,mệt ...
positive,cô dâu xinh
positive,🥰 hihi
negative,tiền bệnh hà
negative,"áp lực món nợ , ko bt lmj nợ 😓"
negative,a trách nhiệm a e
negative,ng đi 💪 🏻 hong gioi noi doi nhu em nghi dau 🥺
negative,khắc a e cx bật khóc 🥺
negative,gọi là chồng c h ó
negative,ko đánh ko lửa ko co khói
negative,im lặng
positive,4 🥰
positive,a tiền câu ngôn tình
negative,"nhan sắc , tiền , may mắn , nổ lực hết mình đôi lúc tệ 🥺"
negative,""" đôi lúc ta <someone> """
negative,ck đẹp trai đại gia
positive,thu bui lũ trẻ con iu nher
negative,buồn sợ
negative,cố 👍 👍
negative,đau k thể nhắn tin 🥺
positive,nyei 💤 chx
positive,e bé cưng
negative,"im lặng riết thành thói quen , k ồn ào , k phiền dến"
positive,cưng
negative,áp lực vây quanh ...
positive,đấy 🌹 🌹 🌹 🌹 ❤ ❤ ❤ ❤
negative,. bật khóc k
positive,"rõ ràng đọc "" mẹ vắng siêu nhân "" đầu văng vẳng "" mẹ vắng pam siêu nhân "" 😂 😂"
positive,ah
negative,buông đau 🥀
negative,toii ước ko hội chứng
positive,xinhh 9_12 💕 chúc e an khang vui vẻ tài lộc
positive,xuân đào m nick nói xấu c eo ko . đọc 2 câu t nghi m lắm
positive,tự hào lắm việt nam
positive,minh già nè
negative,quen mk
negative,tiểu sử mik tiểu sử kh mik
negative,met 😞
negative,t rơi tiêu cực
negative,mệt mỏi 🥺
negative,đi lưu luyến hả 😂 😂 😂
negative,tâm trạng giọt nước mắt mặn đắng
negative,hi vọng v 😞
negative,áp lực lắm đùa .
negative,met lam roi
negative,hong mệt áp lực kiệt sức đi 🥺
positive,cưng
positive,hòa mặc đẹp ghê gớm
positive,team nhây phết
negative,ổn ☺
negative,vô vị 😳
negative,18 t phát hiện bệnh k t đi 6 h - 10 h tối kh bớt nghỉ ngơi nhà t chợ
negative,chào . mệt mỏi nghỉ ngơi 1 chút . t k bt t lắng nghe trải .
positive,nét gái hàn quốc
positive,tế nhạc tết nghe đâu đâu đau đầu ko
negative,kiêu đen buồn trò chuyện
negative,sai sai
positive,bảo quen quen . cchat 😘
positive,xinh 🥰
positive,cưng dị trời 🥰
negative,"kiềm ném cảm xúc k bt đg buồn , k 😥"
positive,sân khấu bđs phố đẹp mê 🥰
negative,ý nghĩa .
positive,cô dâu mặt phúc hậu
negative,vô vụng động lực áp lực học tập gia đình 😢 😔
negative,toi ổn 👌
negative,nước mắt e tuôn
positive,thơ nha
negative,😌
positive,cổ sịt keoo
positive,e thế 🤣
positive,"yêu đất nước việt nam , phát triển mạnh mẽ , 🥰 🥰 🥰"
positive,bồ công bay gió cười
negative,ánh mắt đổ dồn 😌
negative,khúc mắc gỡ ... 🖤
positive,tự hào điện biên ♥ ️ ♥ ️ ♥ ️
positive,giangg châu ikkkkk gianggg
negative,bất lực . trách móc 🥺
positive,trời cưng hôm
positive,chết cười 😂 🥰 🥰
positive,gắng
negative,"mệt nghỉ ngơi ko cho phép , bầy tỏ tình cảm tự ti ko dám ko dám , đêm nằm khóc ☺ ️ c . ơn chủ vd 🥰"
positive,đoạn 😂 😂 🤣 🤣
positive,"mượn xe đổ bình , mượn tim đổ tình giúp a 🥰"
negative,"🥲 🥲 🥲 đùa thằng comment video nhá . lớp lướt topic , kéo đọc conment auto phát "" câu trả lời bố đcm m "" 🙂 . t ổn vl 🙂"
negative,s k thấu hiểu suy nghĩ
positive,người nhà nội chiến thắng hai anh em ruột lạc tận miền nam tưởng người nhà . mấy chục khóc trời
positive,sơn trịnh dấu like
positive,quậy iu 🥰 🥰 🥰
negative,tủi thân khóc . chồng xong líc giả vờ bố mẹ chồng gd chồng bố mẹ buồn 😔
negative,"mệt mỏi 1 gái nhạy cảm , nhạy cảm suy nghĩ"
negative,yeu khac cg :)
positive,nhí nha nhí nhố
positive,", chữa lành , highly rcm ng mua"
negative,chủ nhật tệ hại ..
positive,quậy 💋 💋
negative,suy
negative,đêm cũg chảy nc mắt k 1
positive,ảnh pam chùm mềm dthw lắm lunn
positive,xinh yêu 😘 🥰
negative,“ t k nhu cầu yêu đương đ ĩ đực m lượn giùm nc ”
positive,chấp hai 😅 😅 😅
positive,🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰
positive,yêu công khai
negative,chạnh lòng 😌
negative,1 .... tích tụ 1 kết quả thật đau
positive,ối giời ôi gái xunh
negative,... hận lắm
negative,nguyễn nguyện xl nha ek ak nhều lắm ht duyên ht nợ rời ik 😥 😥
negative,overthingkinh ko thể thoát đc
positive,"mik câu thả thính nè bồ công bay cười gió , nắng e cười ah 🥰"
positive,phạm kiều
positive,thơ
negative,qtam khuyết điểm e
positive,🥰 🥰 🥰
positive,"mây đen ôm bầu trời , a đây nguyện đời ôm e 🤭 🤭"
positive,"câu 6 : trời xanh , mây trắng , nắng vàng a ko say nắng nhx say e"
positive,😂 😂 😂 😂 😂 😂 chết cười 2 .
negative,bất lực
negative,"chờ chia tay rảnh rang hú hí vs đứa kìa , tốn suy nghĩ văn vẻ vs mần chi , chia tay lẹ làng rảnh nợ"
positive,cố chàng trai
negative,thg lớp chê so sánh vs ngkhac ..
positive,sd bnh drone v
negative,chửi <someone> 😃
negative,quá khứ ly hôn 3
negative,khonggg 😭
negative,bít đau cố chấp .. ngta thương 😂
negative,cảm giác bất lực kh khóc
positive,nguyễn cưng ❤ ️
negative,"áp lực gia đình lắm , cảm giác k chẳng tâm sự 😔"
negative,đập chết mẹ :)))))
positive,người yêu chính thức 😗 dòng chửi “ con người vật chỗ con người ko có bạ gieo ”
positive,hôm nay sinh nhật 🥰
negative,suy diễn đấy sự thật váng đầu .... 🙂
positive,kiểu cay
negative,buồn 😞
positive,cổ ngại
negative,mệt 😞
negative,"tui nhạy cảm , tui quên lắm uwu"
positive,cchat toàn cực phẩm
positive,pam xink cáaa
negative,tệ khóc ...
negative,_nghnngoc_ đơn giản thoiii ☺
negative,tiếp thu ... ☺ ️
positive,ui xinh dã mannnnnnnn ❤ ️
negative,áp lực lắm
negative,"ăn chửi ko thằng đấy , nguy đcđ đâm đầu vào"
negative,vui 🥰
positive,bt . cô dâu chẳng đẹp
negative,mệt 🥺
positive,cô dâu xinh
negative,cty tao câu châm ngôn .. chiều cổng nói chuyện 😆 😆 😆
negative,đau 😞
negative,linhha945 e đc thương lm mệt mỏi
negative,hicc hong 😿 😿
negative,tai đứa bùn k bít khóc m
positive,cuộc đời hằng ngàn cám dỗ
positive,"trai đì , tưởng gái ganh :)))"
positive,erik kìa
positive,dễ thương trời
positive,vô tình đc màn trình diễn trung quốc cmt 1000 việt nam đc .. việt nam ta
positive,hp chi chúc vui
positive,ct hòa bình
positive,ko tắt máy chạy k 😂
positive,cô dâu xinh giống á hậu tú
positive,♚ 𝕊ơ𝕟 𝕂𝕒𓂀 ᬁ cưng xĩu 😍
negative,tồn tại yêu thương yêu thương 🥰
positive,quỳnh quỳnh hnao ce nhảy ntn
negative,tiêu cực 🥺
positive,câu xẩy 😊
positive,cô dâu xinh ❤
positive,tuyệt vời 🥰 🥰 🥰
positive,cuteeeeeeeeee
positive,"tiếng căn bản học cải thiện , giao tiếp phương pháp định hướng học ielts follow fb"
negative,quocvuong_220206
negative,thúy hằng 🤷 ‍ ♀ ️
negative,mik bệnh ko đc ng cạnh mik bệnh bệnh
negative,mệt lắm 🥺
negative,"chấp nhận yêu , cảm giác"
negative,áp lực ngạt thở
positive,"hào hùng thay lễ diễu binh , diễu hành kỉ niệm 70 <someone> điện biên phủ 07/5/2024"
negative,im lặng khóc âm thầâm 😔 😞
negative,đàn ông k xứng
negative,nhanh quên đôi khi vui quên ác ý miệng đời
positive,"yêu . trăm nối đi , nối . lối đẹp 😂"
negative,áp lực mệt mõi
negative,natsu 🔮 đi
positive,o tiền vứt
positive,flex_killua69 bonne anniv
positive,xinh đẹp
negative,đau
positive,vía
positive,"vũ <someone> xong , đọc k t đọc xong mượn"
positive,kute
positive,"dạo ổn , cố gắng cuộc sống vật chất lẫn tinh thần . khát uống acqua beverly , bình thản uống aquafina vĩnh hảo . , đói khát , bản lĩnh đi , bản năng trỗi dậy , sht dám , cống rãnh dám uống . ."
positive,💞 phượng 💞 🧸 ik 😅 😁
positive,cô dâu đẹp 🥰
negative,chịu đựng
negative,đi trai gái đánh
negative,☹ ️
positive,cố
positive,rễ phúc 3 đời 🥰
negative,", đứng dậy bố"
negative,suy nghĩ ngược lại
positive,happy birthday 🥰 🥰 🥰
positive,hát
negative,khóc to tự nhủ đàn ông k khóc gồng mạnh mẽ
negative,🌸 kngọc 🌸 dũngvp đam mê lsr 🦁 🐉 mày tao ko dũng ☺ ️ ☺ ️ ☺ ️ ☺ ️
negative,"béo , đấy bào chữa vũ phu thằg đàn ông tồi"
positive,"mùng 1 tết khóc video , khóc niềm tự hào , niềm tôn dân tộc , yêu việt nam ."
negative,"tồn tại bố mẹ , ước mơ giở mik tớ mệt cố gắng 🥰"
positive,mãi mãi nhớ ơn anh hùng liệt sĩ hủy sinh tổ quốc ❤
positive,happy birthday who are celebrating happy birthday today ♥ ️ ♥ ️ ♥ ️ ţọŏn
negative,🤞
negative,khóc lắm tim đau nước mắt hề rơi
negative,lặt vặt nhỏ xíu thoi tớ buồn 🥺
positive,3 ce dễ thương iu iu ♥ ️ ♥ ️ ♥ ️
positive,đẹp ý nghĩa
negative,thuong
positive,happy birthday to miiiiiii ❤
negative,đau lắm . ta yêu ☺ ️
negative,😕
negative,t bh t t thành miệng 👄 ta 🙄
negative,bất lực
negative,vô
positive,mặt cưng ghê
negative,bé
negative,cảm xúc nhieu
positive,tự hào sinh mảnh đất điện biên phủ anh hùng
positive,lo chả thả thính 😂 😂 😂
negative,di em
negative,"ngọc tuyền thở h đau tim , a từ bỏ lắm ko a e động lực a , a ko bt mik sống dc"
negative,trải t im lặng thay vì khổ 😌
positive,xĩu mấtttttttt pam oiii 😻
positive,:))) thời buổi dị .
negative,cố an ủi
positive,kiếp kiếp đẹp 🥰 🥰
negative,:)))) cút mẹ đi . đỡ ph ct
positive,"thành tâm xin vía bé khỏe , mắt 2 mí , môi xinh , mũi xinh bỏ bụng 🥰 🥰"
negative,mei dung buon ...
negative,tỏ kh tủi thân lắm :)
negative,k lun
negative,rơi bế tắt r 🥺
negative,đón đi
negative,"ước công việc sự nghiệp ổn định , chẳng tiền"
negative,ấm ức lắm . 1
positive,tặng xuyến :)))
positive,xinh lắm 🥰
positive,❤ ❤
negative,khóc nói chuyện 1 ấm ức
positive,happy birthday to me 11/10
negative,góc tuyệt vờicung_cấp_công_việc288
negative,k khóc ..
negative,vẻ bề ngoài thế sao . đánh ng ta
negative,bố mẹ bắt nghỉ học đi nợ ruột . mặc dù học yêu thuong
positive,khanh loan cute vãi
negative,uoc gi dc 1 cuoc song bthg
negative,sói cương kim m
positive,mời anh em điện biên phủ quê tui
positive,vô tri dị
negative,", , sợ làm phiền"
positive,chúc a sức khỏe tiếp chặng dg
positive,đep trai giọng ấm áp cưng xỉu 😂
negative,sinh nhật mik khóc 😊
negative,ý nghĩa
positive,xu hướng
positive,ôi cưng đi thôi yêu . 🥰
positive,ngoan xinh yêu mẹ rồii
negative,tsao vay
positive,khâm phục
negative,đi 6 nghỉ hôm 😞
negative,biết ơn khóc 😌
negative,"đừng qtam đừng suy nghĩ , tích cực nhma hiện đầu tích cực dc"
positive,dị k xuyến 🙄 🙄
positive,iu
positive,"nội mình chiến sỹ điện biên , tự hào"
negative,dạo ế lắm đăng tựa giật tít thế e
negative,e quyết định rời r . e đau
negative,cố
negative,"đau đấy , buồn đấy , thất vọng lắm 🥺"
negative,tao quyết định mẹ đơn thân … đếch đàn ông . 😏
negative,hiểu biết kém
positive,giỏi
negative,hồng thắm tệ : ( ( (
negative,bố mẹ bắt áp lực sợ phụ bố mẹ thương 😔 😔
negative,tớ tớ đánh gây chiến tiêu cực . thôi tớ tiêu cực cậuuu 🫶 <3
negative,podcast lắm 🥰
positive,🥰 tuyệt vời
negative,toi nghiệp ... 😂
negative,chết bất đầu thương dung khongg ..
positive,giang yeuhenrynhattrendoi e j lói k
positive,sop
positive,xuanmit yêu ❤ ️
negative,"áp lực vô hình , chả bt , chả bt diển tả nỗi ấm ước tủi hờn mik ☺ ️"
positive,hát gi mong mn tui nha
negative,ha h tui ko j lun
positive,pamm huôngg xỉu
negative,"bảo mặc kệ miệng đời , tai , , đầu mệt , suy nghĩ"
negative,đánh tài xỉu buồn 🥺
negative,😌 chách 😃
positive,chúc mừng
positive,mong .. chân dung
negative,mệt 😣 😞
positive,khâm phục nể a nghị lực qa
negative,"k đàn ông nha , đàn ông k đanh phụ nữ , trao tim quỷ"
negative,k sợ chết sợ ng thân chết 😞 tiêu cực
negative,đánh tình bạn 🙂
negative,nguyễn phương uyên đôi
positive,ok nha
negative,overthinking ko chữa
positive,yến hân ghê
positive,khâm phục ý chí <someone> .
negative,chửi đầu
negative,tiếc nuối chi giải pháp bo la đung đan 🥺 🥺
negative,đan sài ...
negative,đừng mắng
negative,tơ tơ
negative,mk khóc 😭
positive,yêu thương
negative,đau lòng
positive,simone c1 đấy bọt lắm . nửa xanh thành milan tự trách tận dụng chả loạt luân lưu
negative,mệt mỏi :)) 😢
negative,🙂
negative,nước mắt tự chủ ..
negative,đau . đau trụ nổi 🥺
positive,4
negative,riết chẳng than vãn . hễ buồn vô tiktok cmt dạo bớt buồn 😞
negative,💀 thề đấy mệt lắm đau lắm khí lắm
negative,thương
positive,bé cưng
positive,trén lun
negative,""" cút "" xong hạn chế :)))"
negative,", đề k 😂"
negative,how long is forever 🙂
negative,tiền đỡ suy nghĩ 😌
negative,suy nghĩ
positive,set k shop
negative,kệ miệng đời nma kh thể ngừng đc …
positive,<someone> 🌷 cute
negative,bạch dương đt =)))
positive,mở màn chiếu dời đô đỉnh quá sức tưởng tượng
positive,nam mô a di đà phật
positive,đẹp
positive,câu 6 vẽ hữu dụng e ngoài trời mưa 😂
positive,happy birthday today
negative,ngkh mệt vs emm : (
positive,mặt de thương
positive,dân tộc việt nam anh hùng . quyết chiến quyết thắng ❤ ️
positive,thử văn phòng 🥺 chỗ tuyển sale k kinh nghiệm đh . công việc đỡ vất vả
negative,mệt
positive,hoa võ 🫶 ♥ ️
positive,mặt cưng . 2 đồng tiền lun
negative,"“ hi anh tình yêu nhường , tén kìu ”"
negative,", công nhân chuyền bảo lãnh vp pk"
negative,inter 😭 😭
positive,đấy 😂 🤣 🤣 🤣
negative,over thinh king
negative,"đau thể xác , gia đình bạn bè , mệt lắm r"
negative,"thương , đau lòng"
positive,ôi biển mê
positive,a 😂
positive,phương vyhoàng trần
positive,ah
